Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.883534208,-0.273930359,1.079854431,8.76277771,8.833311759
0.893585208,-0.246986389,1.009500732,8.882528687,8.943120813
0.903637208,-0.214503937,0.948128357,9.093140717,9.144953111
0.913689208,-0.185314636,0.903371429,9.325457611,9.370943448
0.923741208,-0.157472534,0.851130066,9.616302795,9.655179928
0.933793208,-0.080233154,0.933608551,9.927655334,9.971780319
0.943844208,-0.060623932,0.948128357,9.99606308,10.04111048
0.953896208,-0.31120285,0.682580566,10.08003845,10.10791465
0.963948208,-0.290545807,0.796194305,10.37761963,10.41217227
0.974000208,-0.136516113,0.994082794,10.33840118,10.3869811
0.984052208,-0.115709381,1.033600616,10.18482056,10.23778729
0.994103208,-0.171243896,1.02147583,10.07090744,10.12402657
1.004155208,-0.182769928,1.019230499,9.901160431,9.955160146
1.014207208,-0.184566193,1.041085052,9.753417664,9.81055956
1.024259208,-0.177680511,1.048868866,9.722132721,9.780161599
1.034311208,-0.206869812,1.047671356,9.748328247,9.80664642
1.044362208,-0.239501953,1.04258194,9.724827118,9.783486125
1.054414208,-0.229772186,1.048569489,9.691895599,9.751160625
1.064466208,-0.241298218,1.040336609,9.660910034,9.719758628
1.074518208,-0.242944794,1.048719177,9.569599915,9.629957249
1.084570208,-0.289497986,1.048270111,9.509125671,9.571110194
1.094621208,-0.310155029,1.046324158,9.506281586,9.568718826
1.104673208,-0.317190399,1.033301239,9.571845245,9.632680966
1.114725208,-0.320333862,1.041983185,9.634265442,9.695742021
1.124777208,-0.302071838,1.042282562,9.699380035,9.759896178
1.134829208,-0.289797363,1.041833496,9.768985291,9.828655714
1.144880208,-0.27617569,1.021625519,9.775571594,9.832689953
1.154932208,-0.266595612,1.010698242,9.779164124,9.834868332
1.164984208,-0.264649658,1.019829254,9.779164124,9.835758339
1.175036208,-0.256716156,1.037642212,9.819430389,9.877439836
1.185088208,-0.250129852,1.047371979,9.851463776,9.910140843
1.195139208,-0.226329346,1.044976959,9.838889923,9.896815485
1.205191208,-0.204325104,1.052611084,9.801916809,9.860391066
1.215243208,-0.200283508,1.037043457,9.779463501,9.836334631
1.225295208,-0.181422729,1.030906219,9.732461243,9.788589463
1.235347208,-0.17079483,1.037941589,9.689051514,9.745984448
1.245398208,-0.166603546,1.011746063,9.662855988,9.717107217
1.255450208,-0.19654129,0.9794133,9.647887115,9.699464144
1.265502208,-0.189356232,0.981209564,9.60642334,9.658260577
1.275554208,-0.169447632,0.99228653,9.575886841,9.628652753
1.285606208,-0.151035919,0.998274078,9.548194427,9.601425926
1.295657208,-0.115559692,0.995280304,9.528435516,9.580971783
1.305709208,-0.096399536,1.008153534,9.584568787,9.637926398
1.315761208,-0.088166656,1.00980011,9.644294586,9.697416547
1.325813208,-0.1088237,0.991837463,9.679022369,9.730316448
1.335865208,-0.114811249,0.992885284,9.704469452,9.755804946
1.345916208,-0.113613739,0.997076569,9.76434494,9.81577821
1.355968208,-0.103135529,1.025068359,9.799072723,9.853082173
1.366020208,-0.102237396,1.016236725,9.821376343,9.87434164
1.376072208,-0.114960938,1.019380188,9.837542725,9.890884634
1.386124208,-0.139509888,1.01324295,9.792935486,9.846202807
1.396175208,-0.145497437,1.017434235,9.744885406,9.798935325
1.406227208,-0.175884247,1.014290771,9.707912292,9.762339992
1.416279208,-0.210312653,1.010398865,9.695637817,9.750411784
1.426331208,-0.257165222,0.995579681,9.675729218,9.730213191
1.436383208,-0.374521179,0.961300964,9.703870697,9.758558918
