Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.648989708,0.493374023,0.231269073,12.91783722,12.9293241
1.659041708,0.300574951,0.123343506,11.45747406,11.46207969
1.669092708,0.369431763,0.087567902,10.27418472,10.28119739
1.679144708,0.684227142,0.017214203,9.279503174,9.304710757
1.689196708,0.991388397,0.061222687,8.270900574,8.330329854
1.699248708,1.717079315,0.408949585,7.747439117,7.945968413
1.709300708,2.475402374,0.61192749,7.629783783,8.044605195
1.719351708,2.754571838,0.506846008,8.359216919,8.815955217
1.729403708,2.753973083,0.373922424,9.475296021,9.874483298
1.739455708,2.630779266,0.182021484,10.25158173,10.58532282
1.749507708,2.454445953,0.046403503,10.4151915,10.70059214
1.759559708,2.167342987,-0.118852844,10.53718781,10.75843058
1.769610708,1.732197876,-0.353564758,10.61188248,10.75813958
1.779662708,1.421593781,-0.198487244,10.35711227,10.45610352
1.789714708,1.14901062,-0.229921875,10.13796799,10.20546346
1.799766708,0.624351654,-0.483344879,10.14410522,10.17478786
1.809818708,0.733325043,-0.747246094,9.954748993,10.00965383
1.819869708,0.764609985,-0.736318817,9.561816101,9.620557207
1.829921708,0.680035858,-0.580492859,9.571096802,9.612768317
1.839973708,0.698447571,-0.512234802,9.435179443,9.474852222
1.850025708,0.686023407,-0.760418701,8.924591217,8.983161643
1.860076708,0.449964294,-0.74305481,8.943751373,8.985838133
1.870128708,0.21300705,-0.53588562,9.483079834,9.500597273
1.880180708,0.218545532,-0.810414734,9.69414093,9.730411223
1.890232708,0.439336395,-0.977167969,9.770332489,9.828899768
1.900284708,0.524060211,-0.686771851,9.31273407,9.352716746
1.910335708,0.865649872,-0.540675659,8.603359222,8.663686847
1.920387708,1.050814819,-0.675844574,8.02331543,8.120010354
1.930439708,0.143102417,-0.400866394,8.056546326,8.067782277
1.940491708,-0.065713348,-0.113763428,7.672744446,7.673869147
1.950543708,0.21300705,-0.043709106,7.293882294,7.297122817
1.960594708,0.348924408,-0.199984131,7.530240784,7.540972627
1.970646708,0.302520905,-0.420176239,7.862549744,7.87957838
1.980698708,0.291743317,-0.60264679,8.031548309,8.059408512
1.990750708,0.299826508,-0.696351929,8.203989716,8.238947093
2.000802708,0.182320862,-0.844394073,8.43166626,8.475803098
2.010853708,0.03622467,-0.997076569,9.117240601,9.171671063
2.020905708,0.008083191,-0.986598358,9.735455017,9.78532197
2.030957708,0.048349457,-0.715063019,10.06117767,10.08667185
2.041009708,-0.047900391,-0.580792236,10.40950333,10.42580326
2.051061708,-0.223634949,-0.629441071,11.00481537,11.02507007
2.061112708,-0.443377991,-0.83661026,11.46136597,11.50040915
2.071164708,-0.53588562,-0.952169952,11.24880798,11.30174686
2.081216708,-0.409847717,-0.924627228,10.66562073,10.71346705
2.091268708,-0.265697479,-0.912801819,10.27014313,10.31405072
2.101319708,-0.245339813,-1.032103729,10.1828746,10.23798637
2.111371708,-0.225431213,-1.166374512,10.29289581,10.36122353
2.121423708,-0.105530548,-1.269659729,10.65888474,10.73475646
2.131475708,-0.010927277,-1.369651794,11.12501541,11.20901572
2.141527708,-0.094902649,-1.496288452,11.44699585,11.54476503
2.151579708,-0.21180954,-1.66858017,11.75280991,11.87255506
2.161630708,-0.296533356,-1.824256439,11.82002014,11.96364157
2.171682708,-0.237705688,-1.798360291,11.72466843,11.86416678
2.181734708,-0.020058289,-1.591490479,11.55507111,11.66417218
2.191786708,0.167651367,-1.383123779,11.42738663,11.51200693
2.201837708,0.268541565,-1.184187469,11.25853775,11.32382828
2.211889708,0.333356781,-0.977766724,11.03370529,11.08195863
2.221941708,0.408650208,-0.824036407,10.92847412,10.96711346
2.231993708,0.418829041,-0.649649048,10.81381256,10.8414023
2.242045708,0.451910248,-0.539328461,10.66187851,10.68507143
2.252096708,0.471669159,-0.471220093,10.37776932,10.39916421
2.262148708,0.539627838,-0.343685303,10.12494507,10.14513827
2.272200708,0.64006897,-0.196690979,9.949509888,9.972016979
2.282252708,0.704135742,-0.176782379,9.909992065,9.936548792
2.292304708,0.606838074,-0.366587677,9.992769928,10.01788849
2.302355708,0.362396393,-0.653840332,10.14156052,10.16907508
2.312407708,0.133222961,-0.929117889,10.22793091,10.27090936
2.322459708,0,-1.175056458,10.40351578,10.46966562
2.332511708,-0.092058563,-1.400337982,10.5704187,10.66316898
2.342563708,-0.152832184,-1.562750244,10.67744614,10.79228437
2.352614708,-0.247285767,-1.680854645,10.91694809,11.04835636
2.362666208,-0.299976196,-1.711391144,11.11932724,11.25425625
2.372718208,-0.422571259,-1.741927643,11.13983459,11.28311983
2.382770208,-0.58273819,-1.720222778,11.20973923,11.35592373
2.392821208,-0.618663483,-1.659898224,11.15495316,11.29473269
2.402873208,-0.645158386,-1.491797791,10.92787537,11.04808354
2.412925208,-0.574954376,-1.171613617,10.66262695,10.74220017
2.422977208,-0.368982697,-0.795445862,10.26026367,10.29766444
2.433029208,-0.154628448,-0.508642273,9.824370117,9.838743574
2.443080208,-0.05493576,-0.352666626,9.412426758,9.419191534
2.453132208,-0.099542999,-0.289947052,8.904832306,8.910107547
2.463184208,-0.181273041,-0.268391876,8.466244354,8.472436933
2.473236208,-0.160765686,-0.31359787,8.254285126,8.261804413
2.483287208,-0.085023193,-0.40131546,8.294850769,8.3049884
2.493339208,0.127085724,-0.525257721,8.667725372,8.684555808
2.503391208,0.257614288,-0.761017456,9.073232117,9.108735024
2.513443208,0.302520905,-0.959953766,9.452842712,9.506275058
2.523495208,0.449215851,-1.135089569,9.823921051,9.899477159
2.533546208,0.627046051,-1.39240448,10.20053787,10.31421106
2.543598208,0.955463104,-1.635199585,10.71561676,10.88169242
2.553650208,1.334924011,-1.716929626,11.12052475,11.33119324
2.563702208,1.654659119,-1.699416046,11.40732834,11.65131115
2.573754208,1.960622864,-1.671723633,11.61539566,11.89773585
2.583805208,2.077829132,-1.554667053,11.97749268,12.2553945
2.593857208,1.906884613,-1.401535492,12.36264175,12.58711332
2.603909208,1.527274017,-1.432071991,12.57145752,12.74460436
2.613961208,1.034648438,-1.445244598,12.31863327,12.44620243
2.624013208,0.46104126,-1.29061615,11.99755096,12.07557362
2.634064208,0.307161255,-1.267564087,11.90698929,11.97820774
2.644116208,1.164129181,-1.374741211,12.24333984,12.37515578
2.654168208,3.106490021,-0.95366684,11.8430722,12.2808029
2.664220208,3.682641907,-1.791474609,12.42670853,13.08412464
2.674271208,4.570146332,-2.414928131,13.63304993,14.58006055
2.684323208,5.437592468,-2.481988678,14.67578156,15.84633219
2.694375208,5.395979004,-2.361040192,14.21384216,15.38585094
2.704427208,4.634961548,-2.447111206,12.96094757,13.98060742
2.714479208,3.398383026,-2.536475372,11.69413193,12.43926992
2.724530208,2.806513824,-2.406096497,10.7084317,11.32856256
2.734582208,2.536175995,-2.429897003,10.27104126,10.85499317
2.744634208,2.147584076,-2.467468872,10.40995239,10.91181144
2.754686208,1.897454224,-2.538421326,10.08707382,10.57321964
2.764738208,2.139500885,-2.433339844,9.820777588,10.34148342
2.774789208,2.004182281,-2.902314606,10.03617966,10.63790763
2.784841208,1.917213135,-3.230881348,11.08564728,11.70495092
2.794893208,1.896406403,-3.506009216,11.2247081,11.91144533
2.804945208,1.647923126,-3.769910431,10.77414505,11.53299947
2.814996208,1.47084137,-4.043691101,9.822274475,10.72342706
2.825048208,1.657353516,-4.31522644,9.129215698,10.23281873
